Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Quincy Acy\acyqu01,4.9,8.8,0.8,2,4.1,6.8,2.1,2.8,2.7,5.1,7.7,1.1,1.2,1,1.1,4.2,12.6
Jordan Adams\adamsjo01,4.8,14.4,0,2.4,4.8,12,7.2,12,0,4.8,4.8,7.2,7.2,0,4.8,4.8,16.8
Steven Adams\adamsst01,4.7,7.6,0,0,4.7,7.6,2,3.5,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4,11.4
Arron Afflalo\afflaar01,5.4,12.1,1.4,3.6,4,8.5,1.7,2,0.3,3.7,4,2.2,0.4,0.2,1.2,2.2,13.8
Alexis Ajinca\ajincal01,6.3,13.2,0,0,6.3,13.1,2.2,2.6,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7
Cole Aldrich\aldrico01,6,10.1,0,0,6,10.1,2.7,3.8,3.9,9.1,13,2.3,2.1,3.1,2.9,6.3,14.8
LaMarcus Aldridge\aldrila01,8.5,16.6,0,0.3,8.5,16.4,4.1,4.8,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2
Cliff Alexander\alexacl01,5,10,0,0,5,10,0,0,2,4,6,0,1,2,1,1,10
Lavoy Allen\allenla01,4.3,8.3,0,0,4.3,8.3,1,1.6,3.6,5.9,9.5,1.7,0.6,0.9,1.6,3.3,9.6
Tony Allen\allento01,4.8,10.4,0.3,0.9,4.4,9.5,2,3.1,2.3,4.3,6.6,1.6,2.4,0.4,1.7,3.9,11.9
Al-Farouq Aminu\aminual01,4.6,11.1,1.9,5.4,2.7,5.7,1.8,2.4,1.5,6.2,7.7,2.1,1.1,0.8,1.8,2.6,12.9
Lou Amundson\amundlo01,3.4,9.4,0,0,3.4,9.4,2.5,4.8,4.1,4.6,8.6,2.1,1.1,1.2,2.6,7.8,9.2
Chris Andersen\anderch01,3.4,6.4,0.4,1.3,3,5.2,2.2,3.2,3.2,5.6,8.8,1.1,1.3,1.2,0.8,2.6,9.4
Alan Anderson\anderal01,3.9,11.1,2.3,6.9,1.7,4.1,2.1,2.8,0.2,4.9,5.1,2.6,0.7,0.2,0.4,4.7,12.2
James Anderson\anderja01,3.3,8.9,1.1,4.3,2.2,4.6,1.1,1.4,0.6,3.6,4.3,2,1,0.7,2.1,2.7,8.9
Justin Anderson\anderju01,4,9.7,1.2,4.6,2.7,5.1,2.4,3.1,1,6.3,7.3,1.6,1.1,1.4,1.3,2.5,11.6
Kyle Anderson\anderky01,4,8.5,0.3,1.1,3.6,7.5,1.8,2.4,0.7,6.3,7.1,3.6,1.7,0.8,1.7,2.8,10.1
Ryan Anderson\anderry01,7.1,16.7,2.3,6.4,4.8,10.2,3.6,4.1,2.3,4.8,7.1,1.3,0.7,0.4,1.6,2,20.2
Giannis Antetokounmpo\antetgi01,6.5,12.9,0.4,1.4,6.2,11.5,3.8,5.2,1.4,6.4,7.8,4.4,1.2,1.4,2.7,3.3,17.2
Thanasis Antetokounmpo\antetth01,18,24,0,6,18,18,0,0,0,6,6,0,0,0,0,12,36
Carmelo Anthony\anthoca01,8.1,18.6,1.5,4.4,6.6,14.2,4.8,5.7,1.4,6.5,7.9,4.3,0.9,0.5,2.5,2.6,22.4
Joel Anthony\anthojo01,2.3,3.7,0,0,2.3,3.7,2.3,3,3,4.9,7.9,0.4,0.7,4.5,0.7,5.6,6.8
Keith Appling\applike01,2.7,10.7,0,4,2.7,6.7,2.7,2.7,0,1.3,1.3,1.3,1.3,0,4,6.7,8
Trevor Ariza\arizatr01,4.5,10.8,2.3,6.3,2.2,4.5,1.6,2,0.8,3.8,4.6,2.4,2,0.3,1.4,2.2,12.9
Darrell Arthur\arthuda01,5.2,11.6,1.1,2.8,4.2,8.8,0.9,1.3,2,4.9,7,2.3,1.3,1.1,1.6,4.4,12.5
Omer Asik\asikom01,3.2,6,0,0,3.2,6,1.9,3.4,3.7,9,12.7,0.8,0.6,0.7,1.8,3.8,8.2
D.J. Augustin\augusdj01,4.5,10.7,2.1,5.1,2.4,5.6,3.1,3.9,0.2,2.7,2.9,6.1,1.2,0.1,2.6,2.6,14.3
Jeff Ayres\pendeje02,4,7.7,0,0.3,4,7.4,2,2,1.3,6.1,7.4,1.7,0,1,2,6.1,10.1
Luke Babbitt\babbilu01,5.2,12.3,1.9,4.6,3.3,7.7,1.7,2.1,1.1,5.2,6.3,2.3,0.5,0.3,1,3.8,13.9
Cameron Bairstow\bairsca01,4.5,14,0.3,1.7,4.2,12.2,2.4,2.8,1.4,8.4,9.8,2.1,0.7,1,1.4,6.6,11.9
