Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Alex Abrines\abrinal01,3.7,9.2,2.7,7,1,2.2,1.2,1.5,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2
Quincy Acy\acyqu01,3.4,9.7,2.7,7.7,0.7,1.9,1.3,1.6,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9
Steven Adams\adamsst01,6.5,10.3,0,0,6.5,10.3,2.3,4.2,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3
Bam Adebayo\adebaba01,4.6,8.9,0,0.2,4.6,8.8,3.4,4.7,3.1,6.9,10,2.7,0.8,1.1,1.7,3.6,12.6
Arron Afflalo\afflaar01,3.4,8.6,1.4,3.7,2,4.9,1.2,1.4,0.2,3.3,3.5,1.6,0.2,0.5,1.1,3,9.4
Cole Aldrich\aldrico01,3.7,11,0,0,3.7,11,1.5,4.4,2.2,8.8,11,2.2,1.5,0.7,0.7,8.1,8.8
LaMarcus Aldridge\aldrila01,9.9,19.3,0.4,1.3,9.5,18,4.8,5.7,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9
Jarrett Allen\allenja01,5.8,9.9,0.1,0.4,5.7,9.5,2.8,3.7,3.6,6.1,9.7,1.2,0.7,2.2,2,3.7,14.7
Kadeem Allen\allenka01,2,7.4,0,3.7,2,3.7,2.4,3,1.3,2.4,3.7,4,1,0.7,3,5,6.4
Tony Allen\allento01,5.8,12,0.5,1.6,5.3,10.4,1.5,2.8,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6
Al-Farouq Aminu\aminual01,4,10.1,2.2,5.9,1.8,4.2,1,1.4,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2
Justin Anderson\anderju01,6,14,2.4,7.1,3.7,6.9,1.9,2.6,1.7,4.7,6.5,1.7,1,0.5,1.1,3.7,16.4
Kyle Anderson\anderky01,4.2,8,0.3,1,3.9,6.9,1.9,2.7,1.5,5.7,7.2,3.7,2.1,1.1,1.7,2.1,10.6
Ryan Anderson\anderry01,4.3,10,2.7,7.1,1.6,2.9,1.5,1.9,2,4.9,6.9,1.3,0.5,0.4,0.9,2.6,12.9
Ike Anigbogu\anigbik01,4.8,10.8,0,0,4.8,10.8,6,7.2,6,4.8,10.8,0,1.2,3.6,2.4,1.2,15.6
Giannis Antetokounmpo\antetgi01,9.7,18.3,0.6,1.8,9.1,16.5,6.4,8.4,2,7.8,9.8,4.7,1.4,1.4,2.9,3,26.3
Carmelo Anthony\anthoca01,6.8,16.8,2.4,6.8,4.4,10,2.1,2.8,1,5.6,6.5,1.5,0.7,0.7,1.4,2.8,18.2
OG Anunoby\anunoog01,4,8.4,1.8,4.8,2.2,3.6,0.9,1.5,1.1,3.4,4.5,1.3,1.3,0.3,1.1,3.2,10.6
